"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1","Q2_First.Click","Q2_Last.Click","Q2_Page.Submit","Q2_Click.Count","Q3_1","Q4","Q5","Q6_First.Click","Q6_Last.Click","Q6_Page.Submit","Q6_Click.Count","Q7_2","Q7_26","Q7_27","Q7_3","Q7_4","Q7_5","Q7_7","Q7_8","Q7_11","Q7_12","Q7_DO_2","Q7_DO_26","Q7_DO_27","Q7_DO_3","Q7_DO_4","Q7_DO_5","Q7_DO_7","Q7_DO_8","Q7_DO_11","Q7_DO_12","Q8_First.Click","Q8_Last.Click","Q8_Page.Submit","Q8_Click.Count","Q9_5","Q9_6","Q9_9","Q9_10","Q10_First.Click","Q10_Last.Click","Q10_Page.Submit","Q10_Click.Count","Q11_5","Q11_2","Q11_3","Q11_4","Q12_First.Click","Q12_Last.Click","Q12_Page.Submit","Q12_Click.Count","Q13_1","Q13_2","Q13_3","Q13_4","Q14_First.Click","Q14_Last.Click","Q14_Page.Submit","Q14_Click.Count","Q15_1","Q15_5","Q15_3","Q15_4","Q16_First.Click","Q16_Last.Click","Q16_Page.Submit","Q16_Click.Count","Q18_First.Click","Q18_Last.Click","Q18_Page.Submit","Q18_Click.Count","Q23_1","Q24_First.Click","Q24_Last.Click","Q24_Page.Submit","Q24_Click.Count","Q26_1","Q27_First.Click","Q27_Last.Click","Q27_Page.Submit","Q27_Click.Count","Q32_1","Q33_First.Click","Q33_Last.Click","Q33_Page.Submit","Q33_Click.Count","Q38_1","Q39_First.Click","Q39_Last.Click","Q39_Page.Submit","Q39_Click.Count","Q44_1","Q45_First.Click","Q45_Last.Click","Q45_Page.Submit","Q45_Click.Count","Q46_1","Q47_1","Q48_First.Click","Q48_Last.Click","Q48_Page.Submit","Q48_Click.Count","Q49.1_1","Q49.1_2","Q49.1_3","Q49.1_4","Q49.1_5","Q49.1_6","Q49_DO_1","Q49_DO_2","Q49_DO_3","Q49_DO_4","Q49_DO_5","Q49_DO_6","Q50_First.Click","Q50_Last.Click","Q50_Page.Submit","Q50_Click.Count","Q51.1_1","Q51.1_2","Q51.1_3","Q51.1_4","Q51.1_5","Q52_First.Click","Q52_Last.Click","Q52_Page.Submit","Q52_Click.Count","Q53","Q54","Q55","Q56","Q57_First.Click","Q57_Last.Click","Q57_Page.Submit","Q57_Click.Count","Q58.1_1","Q58.1_2","Q58.1_3","Q58.1_4","Q58.1_5","Q58.1_6","Q59","Q60_First.Click","Q60_Last.Click","Q60_Page.Submit","Q60_Click.Count","Q61","Q62","Q63_First.Click","Q63_Last.Click","Q63_Page.Submit","Q63_Click.Count","Q64","Q65","Q66","Q84_First.Click","Q84_Last.Click","Q84_Page.Submit","Q84_Click.Count","Q67_5","Q67_6","Q67_9","Q67_10","Q68_First.Click","Q68_Last.Click","Q68_Page.Submit","Q68_Click.Count","Q69_5","Q69_2","Q69_3","Q69_4","Q70_First.Click","Q70_Last.Click","Q70_Page.Submit","Q70_Click.Count","Q71_1","Q71_2","Q71_3","Q71_4","Q72_First.Click","Q72_Last.Click","Q72_Page.Submit","Q72_Click.Count","Q73_1","Q73_5","Q73_3","Q73_4","Q74_First.Click","Q74_Last.Click","Q74_Page.Submit","Q74_Click.Count","Q75","Q76_First.Click","Q76_Last.Click","Q76_Page.Submit","Q76_Click.Count","opp","rid","RISN","Q_TotalDuration","gc","term","year","age_group","Q56...Topics","FL_37_DO_TopicISozialeGerechtigkeit.Pre.measurement.done12.","FL_37_DO_TopicIIInnereSicherheit.Pre.measurement.done12.","FL_37_DO_TopicIIIFlüchtlinge.Pre.measurement.done12.","FL_37_DO_TopicIVEuropa.Pre.measurement.done12.","FL_38_DO_TopicISozialeGerechtigkeit.Post.measurement.done12.","FL_38_DO_TopicIIInnereSicherheit.Post.measurement.done12.","FL_38_DO_TopicIIIFlüchtlinge.Post.measurement.done12.","FL_38_DO_TopicIVEuropa.Post.measurement.done12.","TopicISozialeGerechtigkeit.Storypost.done12._DO_Q22","TopicISozialeGerechtigkeit.Storypost.done12._DO_Q24","TopicISozialeGerechtigkeit.Storypost.done12._DO_Q20","TopicISozialeGerechtigkeit.Storypost.done12._DO_Q23","TopicISozialeGerechtigkeit.Storypost.done12._DO_Q19","TopicISozialeGerechtigkeit.Storypost.done12._DO_Q21","TopicIIInnereSicherheit.Storypost.done12._DO_Q32","TopicIIInnereSicherheit.Storypost.done12._DO_Q33","TopicIIInnereSicherheit.Storypost.done12._DO_Q31","TopicIIInnereSicherheit.Storypost.done12._DO_Q30","TopicIIInnereSicherheit.Storypost.done12._DO_Q29","TopicIIInnereSicherheit.Storypost.done12._DO_Q28","TopicIIIFlüchtlinge.Storypost.text.done12._DO_Q36","TopicIIIFlüchtlinge.Storypost.text.done12._DO_Q35","TopicIIIFlüchtlinge.Storypost.text.done12._DO_Q34","TopicIIIFlüchtlinge.Storypost.text.done12._DO_Q37","TopicIIIFlüchtlinge.Storypost.text.done12._DO_Q39","TopicIIIFlüchtlinge.Storypost.text.done12._DO_Q38","TopicIVEuropa.Storypost.text.done12._DO_Q42","TopicIVEuropa.Storypost.text.done12._DO_Q43","TopicIVEuropa.Storypost.text.done12._DO_Q45","TopicIVEuropa.Storypost.text.done12._DO_Q44","TopicIVEuropa.Storypost.text.done12._DO_Q41","TopicIVEuropa.Storypost.text.done12._DO_Q40"
"2017-09-18 12:15:14","2017-09-18 12:23:30","IP Address",100,495,"True","2017-09-18 12:23:30",NA,NA,NA,NA,50.912399291992,6.9107971191406,"anonymous","DE","Ich bin einverstanden.",NA,NA,NA,NA,1976,"männlich","allgemeine oder fachgebundene Hochschulreife (Abitur)",1.983,12.833,13.699,4,10,10,10,10,5,2,2,10,1,8,2,7,3,8,10,9,4,5,1,6,9.667,35.508,36.321,12,8,8,7,6,4.598,14.137,14.805,5,7,9,8,0,4.128,19.552,20.374,5,7,10,8,3,16.247,33.358,34.596,4,0,8,3,1,5.788,22.297,23.177,4,9.556,9.556,11.908,1,2,17.089,17.089,18.017,1,5,5.796,7.396,9.031,2,5,11.155,11.155,11.911,1,10,15.708,15.708,24.008,1,7,7.982,7.982,25.819,1,7,8,7.957,13.772,14.396,2,"CDU","CDU","AfD","SPD","AfD","SPD",2,1,5,3,6,4,7.722,20.108,21.738,6,"Präsident des Deutschen Bundestages","Parteivorsitzender der SPD","","Parteivorsitzender der SPD","",1.642,28.851,30.001,10,"Ja","der römisch-katholischen Kirche","2500 bis 3000 Euro",51069,2.929,18.151,24.2,4,"Wichtig","Wichtig","Wichtig","Wichtig","Wichtig","Eher unwichtig","Mehrmals täglich",3.506,16.503,17.973,9,"Ja","Mehrmals täglich",1.902,1.902,3.273,1,"Ja","CDU/CSU","",NA,NA,NA,NA,7,8,7,4,2.247,9.965,10.751,6,8,9,8,0,3.796,16.445,17.461,6,8,9,8,1,2.738,10.049,10.365,6,0,7,8,0,6.785,15.804,16.786,4,"Ich habe die Erklärung gelesen.",16.757,16.757,31.068,1,"Qual951-1209Germany1","0F057954-5A9C-E711-813E-121EAC84731D",1235713,495,1,NA,NA,"",NA,3,4,1,2,4,2,3,1,NA,3,NA,2,NA,1,2,3,NA,1,NA,NA,NA,1,NA,NA,2,3,1,NA,3,2,NA,NA
"2017-09-18 12:17:14","2017-09-18 12:23:56","IP Address",100,402,"True","2017-09-18 12:23:57",NA,NA,NA,NA,51.050003051758,13.75,"anonymous","DE","Ich bin einverstanden.",NA,NA,NA,NA,1975,"weiblich","Fach-/Hochschulstudium",1.445,8.431,9.346,4,7,6,4,6,7,NA,NA,NA,NA,NA,10,9,6,7,8,3,2,1,5,4,3.288,24.094,24.805,15,4,6,6,6,1.047,6.788,8.183,8,7,2,4,4,2.123,11.89,13.463,10,4,4,4,4,1.444,6.624,7.923,8,6,6,4,6,1.105,9.002,10.395,11,7.941,8.858,11.246,2,10,2.009,2.009,18.677,1,8,2.156,2.156,18.221,1,9,1.663,15.114,16.636,7,8,3.278,3.981,21.139,2,9,2.005,2.005,21.199,1,8,9,2.252,7.09,8.116,5,"CDU","Bündnis 90/Die Grünen","SPD","Bündnis 90/Die Grünen","SPD","CDU",1,4,5,3,2,6,3.116,14.228,15.455,6,"Parteivorsitzender der SPD","Parteivorsitzender der Linken","Bundespräsident","","",2.771,30.054,30.086,12,"Nein","einer anderen christlichen Religionsgemeinschaft","1100 bis 1500 Euro",1324,2.89,19.422,23.811,4,"Sehr wichtig","Sehr wichtig","Sehr wichtig","Wichtig","Wichtig","Wichtig","Einmal am Tag",1.55,13.728,14.817,7,"Ja","Einmal am Tag",2.466,2.466,3.437,1,"Nein","","",NA,NA,NA,NA,7,8,8,8,1.55,6.598,7.933,5,7,7,7,7,1.166,10.686,12.037,12,7,7,7,6,5.16,13.755,15.149,12,6,6,7,6,1.342,4.733,6.121,4,"Ich habe die Erklärung gelesen.",4.679,4.679,31.802,1,"Qual951-1209Germany1","C54DBC96-5A9C-E711-813E-121EAC84731D",1235713,402,1,NA,NA,"",NA,4,1,2,3,3,4,1,2,1,3,NA,2,NA,NA,2,3,NA,NA,NA,1,NA,NA,1,NA,2,3,NA,NA,3,2,1,NA
"2017-09-18 12:19:43","2017-09-18 12:30:23","IP Address",100,639,"True","2017-09-18 12:30:24",NA,NA,NA,NA,51.216705322266,6.7666931152344,"anonymous","DE","Ich bin einverstanden.",NA,NA,NA,NA,1964,"männlich","Fach-/Hochschulstudium",3.672,12.518,13.984,6,1,1,1,1,2,1,1,1,NA,NA,2,9,8,3,7,10,4,5,6,1,17.344,36.992,38.151,16,5,2,4,5,12.709,21.484,22.407,4,8,1,9,3,4.204,11.667,12.527,4,0,10,10,10,6.662,15.841,16.55,4,9,10,10,7,4.171,14.777,15.52,6,8.362,8.362,11.246,1,7,7.913,13.285,16.226,2,7,11.305,14.62,15.938,4,5,8.211,8.211,10.21,1,7,5.791,8.47,21.572,4,7,6.005,6.005,21.459,1,5,7,3.851,7.597,8.276,2,"CDU","CDU","Bündnis 90/Die Grünen","Bündnis 90/Die Grünen","AfD","SPD",3,5,2,4,1,6,6.279,21.34,23.416,6,"Parteivorsitzender der Linken","Bundesminister für Entwicklung","Bundespräsident","Parteivorsitzender der SPD","Präsident des Deutschen Bundestages",4.834,19.792,21.214,10,"Ja","keiner","keine Angabe",41515,1.922,8.114,11.207,5,"Komplett unwichtig","Komplett unwichtig","Wichtig","Eher unwichtig","Eher unwichtig","Eher unwichtig","Mehrmals täglich",2.124,10.971,12.048,7,"Nein","",NA,NA,NA,NA,"Ja","Keine Angabe","",NA,NA,NA,NA,5,2,4,5,2.636,9.399,10.369,4,8,2,8,3,3.699,11.607,12.326,4,0,10,10,10,3.664,10.246,11.274,4,9,10,10,3,3.879,11.229,12.194,5,"Ich habe die Erklärung gelesen.",10.97,23.683,36.303,2,"Qual951-1209Germany1","B3CADEF0-5A9C-E711-813E-121EAC84731D",1235713,639,1,NA,NA,"",NA,2,4,1,3,2,1,4,3,NA,3,1,2,NA,NA,2,3,1,NA,NA,NA,NA,NA,1,NA,2,3,1,NA,3,2,NA,NA
"2017-09-18 12:21:53","2017-09-18 12:31:30","IP Address",100,576,"True","2017-09-18 12:31:30",NA,NA,NA,NA,48.393798828125,11.733093261719,"anonymous","DE","Ich bin einverstanden.",NA,NA,NA,NA,1958,"männlich","Haupt-/Volksschulabschluss",2.621,15.143,16.714,4,3,2,2,2,2,1,1,NA,NA,1,10,4,3,6,5,7,9,2,1,8,11.647,71.297,74.483,13,10,4,8,10,7.842,23.011,24.945,4,6,4,8,4,10.408,23.137,24.908,4,2,6,10,4,4.923,18.22,19.778,5,8,6,7,9,8.996,23.418,25.35,4,0,0,16.168,0,1,16.728,16.728,18.942,1,4,17.002,17.002,18.888,1,7,9.721,9.721,10.969,1,7,8.299,8.299,22.009,1,3,8.44,8.44,22.407,1,4,6,11.885,17.476,19.868,2,"CDU","","","Bündnis 90/Die Grünen","AfD","SPD",1,6,5,2,4,3,7.265,19.202,30.005,4,"Bundesminister für Entwicklung","Parteivorsitzender der Linken","","","",4.597,24.679,30.006,5,"Ja","der römisch-katholischen Kirche","keine Angabe",92224,2.792,13.057,17.633,4,"Eher unwichtig","Eher unwichtig","Eher unwichtig","Sehr wichtig","Sehr wichtig","Wichtig","Mehrmals täglich",3.814,16.781,19.203,7,"Ja","Mehrmals die Woche",3.512,3.512,5.417,1,"Ja","Keine Angabe","",NA,NA,NA,NA,10,4,9,10,7.96,22.353,24.38,4,7,2,8,4,5.772,15.04,16.32,4,3,9,10,6,5.533,12.826,14.416,4,7,8,8,8,3.784,10.339,11.743,4,"Ich habe die Erklärung gelesen.",6.742,6.742,33.597,1,"Qual951-1209Germany1","CCE8603F-5B9C-E711-813E-121EAC84731D",1235713,576,1,NA,NA,"",NA,2,1,3,4,1,2,3,4,NA,3,NA,2,1,NA,2,3,NA,NA,1,NA,1,NA,NA,NA,2,3,NA,1,3,2,NA,NA
"2017-09-18 12:23:26","2017-09-18 12:31:36","IP Address",100,489,"True","2017-09-18 12:31:36",NA,NA,NA,NA,48.907592773438,9.1775970458984,"anonymous","DE","Ich bin einverstanden.",NA,NA,NA,NA,1972,"männlich","Fachhochschulreife",1.501,7.212,7.903,5,0,8,4,6,9,6,6,8,5,6,7,2,1,9,10,5,3,6,8,4,6.533,24.84,26.24,13,10,0,10,0,3.607,13.492,14.41,4,9,9,9,3,4.957,13.3,14.152,4,5,10,10,10,8.137,20.365,21.122,4,10,10,10,1,6.012,18.016,18.981,5,11.313,11.313,11.703,1,5,9.48,16.171,17.327,2,7,8.722,9.496,10.362,2,10,8.142,9.474,10.215,2,1,11.169,46.087,46.893,4,5,2.204,56.324,56.991,4,5,5,14.096,17.529,18.024,4,"CDU","CDU","AfD","Bündnis 90/Die Grünen","AfD","SPD",4,5,2,6,3,1,6.162,27.106,27.951,6,"","Parteivorsitzender der Linken","","Parteivorsitzender der SPD","Bundesminister für Entwicklung",5.05,26.966,27.615,10,"Ja","einer evangelischen Kirche","2000 bis 2500 Euro",70825,3.058,9.421,13.251,6,"Sehr wichtig","Sehr wichtig","Sehr wichtig","Sehr wichtig","Sehr wichtig","Sehr wichtig","Mehrmals täglich",2.203,7.48,8.507,8,"Ja","Mehrmals täglich",2.67,2.67,3.616,1,"Ja","Ich weiß es noch nicht","",NA,NA,NA,NA,10,0,10,1,3.162,16.223,17.18,4,10,10,10,0,3.352,7.684,8.779,4,2,10,10,5,5.629,17.101,18.168,4,10,10,10,0,4.324,12.884,14.944,4,"Ich habe die Erklärung gelesen.",31.122,32.505,33.651,2,"Qual951-1209Germany1","180C957B-5B9C-E711-813E-121EAC84731D",1235713,489,1,NA,NA,"",NA,4,2,3,1,4,3,1,2,1,3,NA,2,NA,NA,2,3,NA,NA,NA,1,NA,NA,NA,1,2,3,NA,NA,3,2,1,NA
"2017-09-18 12:26:07","2017-09-18 12:31:55","IP Address",100,348,"True","2017-09-18 12:31:56",NA,NA,NA,NA,48.766693115234,9.1833038330078,"anonymous","DE","Ich bin einverstanden.",NA,NA,NA,NA,1988,"männlich","Fach-/Hochschulstudium",2.24,10.482,11.219,5,8,7,7,7,8,NA,NA,NA,NA,NA,5,10,2,1,3,4,8,9,6,7,1.806,17.077,19.822,20,8,7,7,6,3.672,5.191,5.828,4,7,7,6,6,1.064,14.614,15.272,8,8,7,7,7,0.883,3.398,5.894,6,8,7,7,6,3.246,5.966,6.588,6,0,0,11.085,0,8,15.941,16.105,16.71,2,7,1.39,16.313,16.556,2,8,2.107,2.317,8.957,2,8,1.454,13.542,22.338,3,8,1.614,19.668,23.63,5,8,7,0.867,1.766,28.054,3,"CDU","CDU","CDU","Bündnis 90/Die Grünen","CDU","SPD",6,3,5,4,2,1,4.422,17.806,18.49,6,"","","","","",3.264,5.693,6.601,2,"Ja","der römisch-katholischen Kirche","2500 bis 3000 Euro",70199,1.353,8.345,10.348,4,"Wichtig","Wichtig","Sehr wichtig","Wichtig","Sehr wichtig","Wichtig","Stündlich oder öfter",2.295,7.798,8.583,9,"Ja","Mehrmals täglich",1.295,1.295,2.719,1,"Ja","SPD","",NA,NA,NA,NA,8,7,7,6,0.749,4.832,6.029,11,8,7,7,8,0.91,3.998,5.821,8,7,7,7,8,0.87,5.726,6.039,9,7,6,7,8,0.636,3.086,5.931,7,"Ich habe die Erklärung gelesen.",9.638,19.815,41.956,2,"Qual951-1209Germany1","C5807AD6-5B9C-E711-813E-121EAC84731D",1235713,348,1,NA,NA,"",NA,3,2,4,1,3,1,2,4,1,3,NA,2,NA,NA,2,3,NA,1,NA,NA,NA,1,NA,NA,2,3,NA,1,3,2,NA,NA
"2017-09-18 12:25:20","2017-09-18 12:32:22","IP Address",100,422,"True","2017-09-18 12:32:23",NA,NA,NA,NA,50,8.2711029052734,"anonymous","DE","Ich bin einverstanden.",NA,NA,NA,NA,1984,"weiblich","Fach-/Hochschulstudium",1.331,10.039,10.875,5,1,1,1,4,1,1,1,1,5,1,6,5,3,8,1,2,9,4,7,10,9.395,29.465,30.328,26,3,10,0,2,3.902,17.441,18.675,6,7,6,6,3,3.977,18.205,18.87,6,4,4,3,0,4.582,15.709,16.555,4,0,6,5,5,0.815,16.452,17.106,8,4.52,4.818,14.283,2,4,0.597,20.446,21.12,6,5,6.62,8.332,9.145,4,4,9.672,9.672,10.807,1,6,7.059,18.317,21.151,5,5,5.674,20.023,21.276,7,5,3,4.55,8.639,9.654,2,"","","","","","",4,5,3,1,2,6,0,0,10.665,0,"","","","","",1.431,10.85,12.647,12,"keine Angabe","keine Angabe","keine Angabe",66123,2.006,18.414,18.731,7,"Wichtig","Wichtig","Wichtig","Wichtig","Komplett unwichtig","Eher unwichtig","Einmal am Tag",6.189,19.217,20.533,10,"Ja","Mehrmals täglich",3.295,3.295,4.349,1,"Nein","","",NA,NA,NA,NA,1,10,1,2,8.138,20.246,20.99,5,7,7,6,1,2.256,15.064,15.498,10,5,4,4,3,4.05,17.009,17.852,8,0,3,5,6,3.069,12.399,13.103,8,"Ich habe die Erklärung gelesen.",4.731,32.308,32.585,6,"Qual951-1209Germany1","717843BE-5B9C-E711-813E-121EAC84731D",1235713,422,1,NA,NA,"",NA,4,1,3,2,1,2,4,3,NA,3,NA,2,NA,1,2,3,NA,1,NA,NA,NA,1,NA,NA,2,3,NA,1,3,2,NA,NA
"2017-09-18 12:24:18","2017-09-18 12:32:56","IP Address",100,518,"True","2017-09-18 12:32:56",NA,NA,NA,NA,51.574798583984,7.1165008544922,"anonymous","DE","Ich bin einverstanden.",NA,NA,NA,NA,1960,"männlich","Realschulabschluss (Mittlere Reife)",2.457,9.472,11.417,4,9,9,9,9,7,NA,NA,NA,NA,NA,10,9,5,7,2,4,8,6,3,1,8.152,50.063,51.386,10,10,0,2,10,9.575,24.935,25.859,4,10,7,10,10,5.05,20.779,21.912,4,8,1,7,0,5.332,25.843,27.386,5,1,2,2,10,9.672,22.391,23.475,4,0,0,20.276,0,5,22.387,22.387,24.622,1,10,11.253,11.253,13.68,1,10,12.054,12.054,13.689,1,10,12.082,12.082,21.384,1,10,17.126,17.126,22.145,1,5,8,9.589,15.052,18.536,2,"CDU","CDU","Bündnis 90/Die Grünen","Bündnis 90/Die Grünen","AfD","SPD",1,5,4,3,2,6,6.635,16.875,18.916,6,"Parteivorsitzender der Linken","Bundesminister für Entwicklung","Bundespräsident","Parteivorsitzender der SPD","Präsident des Deutschen Bundestages",3.083,19.515,20.699,10,"Ja","keiner","2000 bis 2500 Euro",45891,2.294,10.199,17.144,4,"Komplett unwichtig","Komplett unwichtig","Wichtig","Wichtig","Wichtig","Wichtig","Mehrmals täglich",5.458,16.33,18.478,7,"Ja","Mehrmals täglich",2.344,2.344,4.342,1,"Ja","SPD","",NA,NA,NA,NA,10,0,0,10,3.978,10.938,11.854,4,10,8,10,10,5.144,12.448,13.172,4,8,1,8,0,4.867,17.032,18.58,4,0,1,1,10,5.442,17.408,19.186,5,"Ich habe die Erklärung gelesen.",36.259,36.259,37.328,1,"Qual951-1209Germany1","7F51EF99-5B9C-E711-813E-121EAC84731D",1235713,518,1,NA,NA,"",NA,1,3,4,2,4,2,3,1,NA,3,NA,2,NA,1,2,3,NA,NA,1,NA,NA,NA,1,NA,2,3,NA,NA,3,2,NA,1
"2017-09-18 12:25:21","2017-09-18 12:34:10","IP Address",100,529,"True","2017-09-18 12:34:11",NA,NA,NA,NA,54.334701538086,10.134796142578,"anonymous","DE","Ich bin einverstanden.",NA,NA,NA,NA,1947,"männlich","Realschulabschluss (Mittlere Reife)",3.363,10.103,12.655,4,8,1,2,4,NA,NA,NA,7,NA,NA,2,3,1,4,6,7,8,5,9,10,14.366,39.139,40.599,10,0,8,2,2,9.397,26.329,27.705,6,7,7,9,10,5.799,16.234,17.447,4,10,4,0,1,7.109,20.364,21.69,4,1,1,1,8,5.627,13.578,15.1,4,0,0,18.15,0,7,27.541,27.541,29.831,1,10,12.276,12.276,13.566,1,8,15.347,15.347,18.008,1,0,17.933,17.933,23.281,1,2,14.366,14.366,21.663,1,7,10,10.597,15.049,16.195,2,"CDU","CDU","Bündnis 90/Die Grünen","Bündnis 90/Die Grünen","AfD","SPD",4,5,2,3,1,6,6.808,18.619,20.939,6,"Parteivorsitzender der Linken","Bundesminister für Entwicklung","Bundespräsident","Parteivorsitzender der SPD","Präsident des Deutschen Bundestages",6.596,28.788,30.002,10,"Ja","einer evangelischen Kirche","2500 bis 3000 Euro",24113,9.054,20.01,24.182,4,"Komplett unwichtig","Komplett unwichtig","Komplett unwichtig","Sehr wichtig","Sehr wichtig","Wichtig","Mehrmals täglich",6.189,18.725,25.116,7,"Nein","",NA,NA,NA,NA,"Ja","CDU/CSU","",NA,NA,NA,NA,1,8,2,3,5.432,14.918,16.21,5,7,7,8,9,4.289,10.818,11.872,4,9,7,0,0,7.841,15.102,16.477,4,1,1,1,8,5.817,12.92,13.902,4,"",0,0,39.144,0,"Qual951-1209Germany1","877843BE-5B9C-E711-813E-121EAC84731D",1235713,529,1,NA,NA,"",NA,1,3,2,4,4,3,1,2,NA,3,1,2,NA,NA,2,3,1,NA,NA,NA,1,NA,NA,NA,2,3,NA,NA,3,2,NA,1
"2017-09-18 12:30:35","2017-09-18 12:35:37","IP Address",100,302,"True","2017-09-18 12:35:38",NA,NA,NA,NA,53.550003051758,10,"anonymous","DE","Ich bin einverstanden.",NA,NA,NA,NA,1986,"männlich","Realschulabschluss (Mittlere Reife)",1.74,11.189,12.049,5,8,8,5,9,4,7,6,7,10,8,10,2,8,6,9,3,5,7,1,4,2.947,12.519,13.26,14,9,9,8,8,7.329,11.197,12.137,5,7,3,9,7,0.837,4.676,6.017,8,9,8,8,7,0.982,4.255,5.942,6,9,9,8,8,0.89,4.288,6.761,6,1.459,5.427,11.296,2,10,2.218,12.826,20.99,6,9,1.641,2.357,19.067,2,9,1.548,2.45,15.929,2,10,4.614,14.855,24.042,4,9,2.08,18.781,21.807,3,10,8,2.01,6.208,6.548,4,"FDP","CSU","CDU","CSU","CDU","CDU",1,2,3,5,4,6,2.617,5.569,6.294,7,"Präsident des Deutschen Bundestages","Parteivorsitzender der Linken","Parteivorsitzender der SPD","Präsident des Deutschen Bundestages","Parteivorsitzender der SPD",0.962,6.838,7.528,12,"Ja","einer evangelischen Kirche","500 bis 800 Euro",24534,0.951,11.095,14.603,6,"Sehr wichtig","Sehr wichtig","Wichtig","Wichtig","Eher unwichtig","Wichtig","Stündlich oder öfter",1.074,6.01,6.95,8,"Ja","Stündlich",1.008,1.008,3.129,1,"Ja","Die Linke","",NA,NA,NA,NA,9,9,8,8,1.403,4.446,5.651,6,8,7,9,9,0.948,5.264,5.786,6,10,9,8,9,1.1,4.589,5.776,6,10,9,8,8,1.26,4.531,5.868,6,"Ich habe die Erklärung gelesen.",3.537,14.112,31.285,3,"Qual951-1209Germany1","28599779-5C9C-E711-813E-121EAC84731D",1235713,302,1,NA,NA,"",NA,2,4,1,3,4,3,2,1,NA,3,NA,2,NA,1,2,3,NA,NA,NA,1,NA,NA,NA,1,2,3,1,NA,3,2,NA,NA
