"","date","Hartz 4","Sanktionen","Arbeitslosigkeit","Arbeitslosengeld","Flüchtlinge","topic1_sum","Gefährder","Terrorismus","Innere Sicherheit","Terroranschläge","topic2_sum","Integration","Einwanderung","Flüchtlinge Ausbildung","topic3_sum","Europäische Union","Kommission","Bürokratie","Regulierung","topic4_sum"
"1",2017-07-17,42,5,6,40,98,93,0,4,1,0,5,30,1,0,129,2,6,0,4,12
"2",2017-07-18,36,6,5,40,73,87,0,3,0,0,3,35,2,0,110,4,8,3,3,18
"3",2017-07-19,36,5,8,32,76,81,1,0,0,0,1,32,1,1,110,1,7,4,3,15
"4",2017-07-20,36,4,5,34,79,79,4,1,1,0,6,23,1,1,104,4,7,2,4,17
"5",2017-07-21,30,4,4,29,76,67,2,1,0,0,3,17,0,0,93,3,3,0,1,7
"6",2017-07-22,18,2,4,20,63,44,2,0,2,0,4,9,0,0,72,6,2,2,3,13
"7",2017-07-23,35,2,3,17,79,57,1,1,0,0,2,18,2,1,100,2,4,1,1,8
"8",2017-07-24,40,3,2,42,85,87,2,1,0,1,4,17,1,1,104,1,9,0,1,11
"9",2017-07-25,37,7,4,32,60,80,1,1,1,0,3,27,1,1,89,4,6,0,4,14
"10",2017-07-26,38,13,5,38,81,94,1,1,0,0,2,25,2,2,110,1,7,1,0,9
"11",2017-07-27,51,9,5,37,70,102,8,0,0,1,9,27,1,0,98,1,8,1,2,12
"12",2017-07-28,51,13,6,33,67,103,3,3,0,1,7,23,3,0,93,3,7,1,3,14
"13",2017-07-29,35,12,3,17,60,67,2,2,2,0,6,10,3,0,73,0,3,0,2,5
"14",2017-07-30,30,10,4,23,58,67,4,1,0,2,7,22,4,0,84,3,3,1,1,8
"15",2017-07-31,35,7,7,46,67,95,2,1,0,1,4,24,0,1,92,3,5,1,2,11
"16",2017-08-01,39,6,6,33,78,84,5,2,0,1,8,40,0,0,118,4,5,0,3,12
"17",2017-08-02,38,5,8,38,71,89,5,0,0,0,5,23,1,1,96,2,7,2,6,17
"18",2017-08-03,42,10,7,39,81,98,3,2,1,2,8,19,1,0,101,2,5,2,1,10
"19",2017-08-04,29,5,3,18,77,55,0,2,0,1,3,20,3,0,100,5,6,0,3,14
"20",2017-08-05,18,5,2,15,63,40,0,2,0,2,4,11,2,0,76,2,3,2,2,9
"21",2017-08-06,27,7,2,18,57,54,0,0,0,1,1,11,1,3,72,3,4,1,0,8
"22",2017-08-07,29,5,5,34,73,73,0,1,0,0,1,21,0,0,94,6,9,2,5,22
"23",2017-08-08,39,4,6,34,81,83,1,3,0,2,6,24,1,5,111,3,6,1,3,13
"24",2017-08-09,32,4,7,29,71,72,1,2,2,0,5,27,0,2,100,2,11,2,2,17
"25",2017-08-10,36,3,2,29,80,70,1,1,0,1,3,16,3,1,100,4,6,2,1,13
"26",2017-08-11,22,2,4,35,92,63,0,1,1,0,2,19,3,0,114,3,8,3,1,15
"27",2017-08-12,29,3,8,16,72,56,0,0,0,1,1,10,4,0,86,6,4,1,4,15
"28",2017-08-13,27,4,1,14,69,46,0,1,0,1,2,10,1,0,80,3,4,3,1,11
"29",2017-08-14,41,5,6,33,64,85,1,3,1,3,8,24,3,1,92,1,6,1,3,11
"30",2017-08-15,41,7,9,36,75,93,0,3,1,0,4,21,1,1,98,3,6,3,3,15
"31",2017-08-16,42,3,6,34,73,85,1,1,0,1,3,28,2,0,103,3,8,1,2,14
"32",2017-08-17,37,2,6,38,82,83,2,1,1,12,16,17,2,0,101,2,4,1,2,9
"33",2017-08-18,35,3,6,24,83,68,3,8,0,12,23,24,1,3,111,4,4,2,2,12
"34",2017-08-19,25,0,5,21,67,51,2,4,0,3,9,8,2,0,77,3,3,0,2,8
"35",2017-08-20,29,4,4,21,75,58,0,3,0,3,6,10,3,0,88,1,6,1,3,11
"36",2017-08-21,38,5,6,39,76,88,2,3,2,1,8,28,5,2,111,2,10,2,1,15
"37",2017-08-22,47,3,11,40,68,101,2,2,2,0,6,29,2,2,101,5,7,1,4,17
"38",2017-08-23,35,4,8,28,91,75,3,1,1,3,8,29,2,1,123,6,10,1,1,18
"39",2017-08-24,49,5,10,29,82,93,1,5,1,1,8,30,3,2,117,9,8,1,1,19
"40",2017-08-25,33,4,11,26,70,74,0,4,1,0,5,23,3,1,97,2,7,1,3,13
"41",2017-08-26,24,2,5,20,66,51,2,3,0,2,7,12,0,2,80,2,3,2,3,10
"42",2017-08-27,33,3,4,26,77,66,0,0,1,1,2,10,4,1,92,4,2,4,4,14
"43",2017-08-28,40,4,8,41,82,93,0,3,2,0,5,25,5,1,113,3,6,1,2,12
"44",2017-08-29,43,3,8,40,94,94,0,4,1,1,6,24,2,1,121,2,10,1,2,15
"45",2017-08-30,51,3,5,38,89,97,4,5,7,0,16,31,1,0,121,2,10,0,3,15
"46",2017-08-31,39,3,5,36,78,83,1,4,1,1,7,28,1,0,107,4,9,0,4,17
"47",2017-09-01,35,4,7,34,76,80,0,1,0,0,1,17,2,0,95,2,5,0,1,8
"48",2017-09-02,25,2,6,19,77,52,1,2,3,2,8,12,2,0,91,3,5,0,0,8
"49",2017-09-03,43,2,5,20,77,70,1,1,0,0,2,12,5,1,95,3,5,1,0,9
"50",2017-09-04,35,6,7,37,68,85,0,2,1,0,3,29,2,0,99,2,8,1,1,12
"51",2017-09-05,40,5,5,30,84,80,1,1,2,1,5,24,4,1,113,4,8,3,1,16
"52",2017-09-06,43,3,11,29,96,86,0,2,2,2,6,31,1,0,128,4,9,2,2,17
"53",2017-09-07,46,4,12,27,97,89,1,2,1,0,4,23,2,2,124,1,8,0,1,10
"54",2017-09-08,37,4,6,32,70,79,0,0,4,0,4,15,1,0,86,3,8,2,1,14
"55",2017-09-09,23,4,5,23,78,55,1,1,0,1,3,9,1,0,88,6,4,1,0,11
"56",2017-09-10,20,3,5,22,79,50,1,2,1,3,7,14,1,0,94,3,3,1,2,9
"57",2017-09-11,43,6,9,40,85,98,1,3,2,1,7,32,0,0,117,2,8,4,3,17
"58",2017-09-12,41,6,4,46,79,97,0,2,1,1,4,23,2,1,105,3,9,1,2,15
"59",2017-09-13,37,3,9,49,74,98,1,2,3,2,8,25,2,0,101,5,10,1,3,19
"60",2017-09-14,43,4,4,37,80,88,0,2,3,0,5,30,1,1,112,5,6,1,1,13
"61",2017-09-15,32,3,4,22,83,61,1,3,1,0,5,16,2,0,101,2,5,1,1,9
"62",2017-09-16,22,3,4,22,68,51,1,1,1,1,4,8,3,0,79,3,4,3,1,11
"63",2017-09-17,28,3,9,28,78,68,1,4,0,1,6,17,1,1,97,3,5,3,1,12
"64",2017-09-18,35,2,7,34,100,78,0,2,4,0,6,30,3,1,134,4,9,1,3,17
"65",2017-09-19,39,4,9,45,93,97,2,2,0,1,5,24,2,2,121,2,6,1,2,11
"66",2017-09-20,40,3,10,32,82,85,0,4,2,1,7,27,1,2,112,2,9,2,1,14
"67",2017-09-21,47,6,10,34,92,97,0,1,2,3,6,31,1,0,124,2,9,1,1,13
"68",2017-09-22,32,3,10,31,83,76,0,1,1,1,3,19,1,0,103,3,6,4,3,16
"69",2017-09-23,40,3,5,19,77,67,1,3,0,0,4,16,3,0,96,2,4,1,1,8
"70",2017-09-24,30,2,6,26,92,64,0,2,2,2,6,15,5,0,112,2,2,0,1,5
"71",2017-09-25,45,5,13,34,85,97,0,3,1,1,5,34,2,0,121,8,9,1,3,21
"72",2017-09-26,57,4,13,31,77,105,0,2,0,1,3,31,3,1,112,5,8,2,5,20
"73",2017-09-27,50,4,10,26,82,90,0,2,0,1,3,29,1,0,112,2,10,1,4,17
"74",2017-09-28,49,4,11,46,75,110,1,1,1,1,4,22,4,1,102,2,7,5,4,18
"75",2017-09-29,44,4,4,34,70,86,0,1,1,0,2,22,1,1,94,5,9,1,5,20
"76",2017-09-30,22,4,5,19,57,50,0,1,1,0,2,12,2,1,72,2,0,1,0,3
"77",2017-10-01,23,1,5,22,80,51,0,1,1,0,2,10,1,1,92,5,6,1,1,13
"78",2017-10-02,30,1,8,29,57,68,0,4,1,1,6,20,2,1,80,5,8,0,2,15
"79",2017-10-03,37,1,4,29,52,71,0,1,0,2,3,16,1,1,70,3,4,0,1,8
"80",2017-10-04,42,2,8,35,62,87,1,1,0,1,3,26,3,0,91,5,6,0,2,13
"81",2017-10-05,32,3,8,33,66,76,1,1,2,0,4,24,4,0,94,5,9,1,1,16
"82",2017-10-06,32,2,9,23,59,66,0,0,0,0,0,24,2,0,85,2,10,0,1,13
"83",2017-10-07,26,0,3,20,59,49,1,3,1,1,6,12,1,0,72,3,3,0,0,6
"84",2017-10-08,33,3,7,25,66,68,0,0,2,1,3,15,3,1,85,3,5,1,2,11
"85",2017-10-09,36,2,9,36,80,83,1,3,1,2,7,27,2,1,110,3,11,0,2,16
"86",2017-10-10,42,5,6,34,66,87,0,1,1,0,2,23,2,0,91,4,7,2,1,14
"87",2017-10-11,37,4,4,29,84,74,0,1,1,0,2,30,2,1,117,2,8,2,5,17
"88",2017-10-12,35,4,15,46,66,100,0,4,0,1,5,28,2,0,96,5,8,2,2,17
"89",2017-10-13,33,6,7,29,65,75,1,0,0,1,2,21,3,1,90,2,7,3,2,14
"90",2017-10-14,25,3,4,13,53,45,0,1,0,1,2,10,0,0,63,2,3,0,0,5
"91",2017-10-15,28,3,3,21,56,55,3,0,0,1,4,11,2,0,69,2,3,0,1,6
